Lead_Name,Budget,Timeline,Lead_Source,Company_Size,Urgency,Requested_Service
Apex Traders,High,Immediate,Website,Medium,High,Web Development
Bright Solutions,Medium,1 Month,Referral,Small,Medium,Mobile App Development
City Mart,High,Immediate,LinkedIn,Large,High,E-commerce Website
Delta Academy,Low,3 Months,Facebook,Small,Low,Website Redesign
Elite Logistics,High,1 Month,Referral,Large,High,Custom Software
Future Foods,Medium,2 Months,Google,Medium,Medium,Digital Marketing
Green Clinic,High,Immediate,Website,Medium,High,Appointment App
Horizon School,Medium,1 Month,Facebook,Large,Medium,School Management System
Innovate Hub,High,Immediate,LinkedIn,Small,High,AI Chatbot
Jupiter Stores,Low,3 Months,Google,Small,Low,SEO
Khan Enterprises,High,1 Month,Referral,Large,High,ERP System
Lumen Fashion,Medium,2 Months,Instagram,Medium,Medium,E-commerce Website
Metro Builders,High,Immediate,Website,Large,High,Project Management System
Nova Cafe,Low,1 Month,Facebook,Small,Medium,Website Development
Orbit Travel,Medium,2 Months,Google,Medium,Medium,Travel Booking Website
Prime Hospital,High,Immediate,Referral,Large,High,Hospital Management System
Quick Mart,Medium,1 Month,Instagram,Small,High,Mobile App Development
Royal Furniture,High,2 Months,Website,Medium,Medium,E-commerce Website
Smart Tutors,Low,3 Months,Facebook,Small,Low,Learning Website
Tech Vision,High,Immediate,LinkedIn,Large,High,AI Automation
Unity Pharmacy,Medium,1 Month,Google,Medium,High,Inventory System
Vertex Motors,High,2 Months,Referral,Large,Medium,Custom Software
Wave Salon,Low,1 Month,Instagram,Small,Medium,Website Redesign
Xpress Delivery,High,Immediate,Website,Medium,High,Delivery Mobile App
Youth Foundation,Medium,3 Months,Facebook,Medium,Low,Donation Website
Zenith Textiles,High,1 Month,Referral,Large,High,ERP System
Alpha Consultants,Medium,2 Months,LinkedIn,Small,Medium,Portfolio Website
Blue Ocean Resort,High,Immediate,Google,Large,High,Hotel Booking Website
Core Learning,Medium,1 Month,Website,Medium,High,Learning Management System
Digital Dreams,Low,3 Months,Instagram,Small,Low,Social Media Marketing
Evergreen Farms,High,2 Months,Referral,Medium,Medium,Inventory System
Fast Track Cargo,High,Immediate,LinkedIn,Large,High,Logistics Management System
Global Books,Medium,1 Month,Google,Medium,Medium,E-commerce Website
Health First,High,Immediate,Website,Large,High,Healthcare App
Ideal Properties,Medium,2 Months,Facebook,Medium,Medium,Real Estate Website
Joy Electronics,Low,3 Months,Instagram,Small,Low,SEO
Knowledge College,High,1 Month,Referral,Large,High,Student Portal
Life Fitness,Medium,1 Month,Google,Small,High,Fitness Mobile App
Modern Homes,High,2 Months,Website,Large,Medium,Property Management System
NextGen Startup,Low,Immediate,LinkedIn,Small,High,MVP Development
Online Bazaar,High,Immediate,Google,Medium,High,E-commerce Website
Power Industries,High,1 Month,Referral,Large,High,Industrial Automation
Quality Foods,Medium,2 Months,Facebook,Medium,Medium,Digital Marketing
Rapid Repair,Low,1 Month,Instagram,Small,Medium,Website Development
Star Education,High,Immediate,Website,Large,High,Learning Management System
Top Choice Store,Medium,1 Month,Google,Medium,High,E-commerce Website
Urban Transport,High,2 Months,Referral,Large,Medium,Fleet Management System
Vision Media,Medium,3 Months,Instagram,Small,Low,Social Media Marketing
World Exporters,High,Immediate,LinkedIn,Large,High,Custom Software
Zara Boutique,Low,2 Months,Facebook,Small,Low,Website Redesign